URL,Tên xe,Giá,Số ghế,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành
https://oto.com.vn/mua-ban-xe-hyundai-kona-ha-noi/len-doi-can-ban-aidxc23373395,Hyundai Kona 2.0 AT Đặc biệt 2019,450000000,5,2019,Máy xăng,SUV,Xe cũ,80000.0,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội
https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/may-nguyen-ban-cua-nha-san-xuat-aidxc23368554,Ford Everest Titanium 2.0 AT 4x2 2023,1225000000,7,2023,Máy dầu,SUV,Xe cũ,22000.0,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
https://oto.com.vn/mua-ban-xe-ford-transit-hcm/2022-xe-luot-1-chuxe-cho-nhan-vienzin-100-bao-test-aidxc23366842,Ford Transit 2022,715000000,16,2022,Máy dầu,Van/Minivan,Xe cũ,40000.0,Số sàn,Trong nước,Tân Phú - Tp.HCM
https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/salon-xin-duoc-chao-ban-chiec-xe-aidxc23370719,Mazda 3 Sedan 1.5L Luxury 2020,499000000,5,2020,Máy xăng,Sedan,Xe cũ,3200.0,Số tự động,Trong nước,Hoàng Mai - Hà Nội
https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-binh-duong/xe-nha-giu-ki-khong-dam-dung-k-loi-nguyen-zin-gia-thuong-luong-aidxc23376417,Mitsubishi Xpander 1.5 MT 2019,420000000,7,2019,Máy xăng,MPV,Xe cũ,76000.0,Số tự động,Nhập khẩu,Thuận An - Bình Dương
https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/salon-xin-duoc-chao-ban-chiec-xe-aidxc23364007,Hyundai Grand i10 Hatchback 1.2 AT 2022,373000000,5,2022,Máy xăng,Hatchback,Xe cũ,48000.0,Số tự động,Trong nước,Hoàng Mai - Hà Nội
https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/salon-xin-duoc-chao-ban-chiec-xe-aidxc23366256,Ford Everest Titanium 2.0 AT 4x2 2023,1219000000,7,2023,Máy dầu,SUV,Xe cũ,29000.0,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội
https://oto.com.vn/mua-ban-xe-mercedes-benz-c180-ha-noi/bao-check-thoai-mai-aidxc23372427,Mercedes-Benz C180 AMG 2021,830000000,5,2021,Máy xăng,Sedan,Xe cũ,30000.0,Số tự động,Nhập khẩu,Long Biên - Hà Nội
https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/27-aidxc23363030,Toyota Fortuner 2.7 V 4X4 AT 2012,393000000,7,2012,Máy xăng,SUV,Xe cũ,108000.0,Số tự động,Trong nước,Quận 1 - Tp.HCM
https://oto.com.vn/mua-ban-xe-honda-cr-v-hcm/phien-ban-l-day-du-tien-nghi-aidxc23365927,Honda CR-V 2018,708000000,5,2018,Máy xăng,SUV,Xe cũ,73000.0,Số tự động,Nhập khẩu,Quận 1 - Tp.HCM
https://oto.com.vn/mua-ban-xe-volvo-xc60-ha-noi/xe-chu-di-giu-chat-xe-con-dep-bao-zin-aidxc23369459,Volvo XC60 B6 AWD Inscription 2021,1599000000,5,2021,Máy xăng,SUV,Xe cũ,80000.0,Số tự động,Nhập khẩu,Long Biên - Hà Nội
https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-200-hai-phong/may-moc-hop-so-nguyen-ban-aidxc23376812,Mercedes-Benz GLC 200 4Matic 2021,1320000000,5,2021,Máy xăng,SUV,Xe cũ,75000.0,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-kia-morning-hai-phong/gia-tot-sang-ten-ngay-du-ho-so-aidxc23376460,Kia Morning GT-LINE 2022,355000000,5,2022,Máy xăng,Hatchback,Xe cũ,62000.0,Số tự động,Trong nước,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-hai-phong/xe-1-chu-tu-dau-gia-tot-sang-ten-ngay-aidxc23376458,Mercedes-Benz C200 Exclusive 2019,850000000,5,2019,Máy xăng,Sedan,Xe cũ,58000.0,Số tự động,Trong nước,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-peugeot-3008-hai-phong/gia-tot-du-ho-so-sang-ten-ngay-aidxc23376102,Peugeot 3008 Allure 2025,835000000,5,2025,Máy xăng,SUV,Xe cũ,7000.0,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-hai-phong/xe-dep-dang-ky-2023-aidxc23376096,Toyota Corolla Cross 1.8 V  2022,695000000,5,2022,Máy xăng,Crossover,Xe cũ,50000.0,Số tự động,Trong nước,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-ford-territory-hai-phong/xe-dep-1-chu-aidxc23376094,Ford Territory Titanium X 2023,795000000,5,2023,Máy xăng,SUV,Xe cũ,8000.0,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-ford-ranger-hai-phong/xe-cuc-dep-aidxc23376093,Ford Ranger XLS 2.0L 4x2 AT 2024,645000000,5,2024,Máy dầu,Bán tải,Xe cũ,17000.0,Số tự động,Trong nước,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hai-phong/xe-dep-bao-duong-full-hang-gia-tot-thuong-luong-aidxc23376089,Mercedes-Benz GLC 300 4Matic 2020,1390000000,5,2020,Máy xăng,SUV,Xe cũ,70000.0,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-vinfast-lux-a20-hai-phong/gia-tot-sang-ten-ngay-aidxc23375589,VinFast LUX A2.0 Nâng cao 2021,555000000,5,2021,Máy xăng,Sedan,Xe cũ,36000.0,Số tự động,Trong nước,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-mg-zs-hai-phong/odo-6-van-km-1-chu-tu-dau-aidxc23370268,MG ZS 1.5 2WD Luxury 2021,435000000,5,2021,Máy xăng,SUV,Xe cũ,60000.0,Số tự động,Trong nước,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-bmw-x4-hai-phong/sieu-luot-4-van-km-chu-di-giu-gin-bao-duong-full-hang-aidxc23370153,BMW X4 xDrive20i Msport 2020,1750000000,5,2020,Máy xăng,SUV,Xe cũ,40000.0,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
https://oto.com.vn/mua-ban-xe-vinfast-lux-a20-hai-phong/xe-dep-bao-duong-full-hang-aidxc23368985,VinFast LUX A2.0 Tiêu chuẩn 2021,525000000,5,2021,Máy xăng,Sedan,Xe cũ,60000.0,Số tự động,Trong nước,Kiến An - Hải Phòng
